Plan,Leads,Emails,Regular Price,Member Price (40% Off),Badge,Value,,Link
Starter,"3,000","1,000",$7.99,$4.79,Entry Plan,Perfect for getting started,,https://whop.com/real-estate-leads-d0ea/real-estate-leades-1k/
Growth,"8,000","2,500",$11.99,$7.19,Great Value,Save 43% per lead vs Starter,,https://whop.com/real-estate-leads-d0ea/growth-real-estate-leads
Professional ⭐,"16,000","5,000",$17.99,$10.79,Most Popular,Save 58% per lead vs Starter,,https://whop.com/real-estate-leads-d0ea/professional-real-estate-leads
Business,"32,000","10,000",$27.99,$16.79,Best Value,Save 67% per lead vs Starter,,https://whop.com/real-estate-leads-d0ea/business-real-estate-leads-83/
Scale,"80,000","25,000",$44.99,$26.99,High Volume,Save 79% per lead vs Starter,,https://whop.com/real-estate-leads-d0ea/scale-real-estate-leads
Enterprise,"160,000","50,000",$69.99,$41.99,Complete Coverage,Save 83% per lead vs Starter,,https://whop.com/real-estate-leads-d0ea/enterprise-real-estate-leads
,,,,,,,,
Monthly,,,,,,,,
Plan,Monthly Verified Emails,Estimated Monthly Leads,Duration,Price,Best For,subscribe link,,
Starter,5k,"~15,000",12 Months,$49.99,Freelancers & small businesses,https://whop.com/real-estate-leads-d0ea/real-estate-starter-monthly-data-plan-for-12-months/,,
Growth ,"10,000","~30,000",6 Month,$59.99,Agencies & growing teams,https://whop.com/real-estate-leads-d0ea/real-estate-growth-monthly-data-plan-for-6-months/,,
Professional,"15,000","~45,000",4 Months,$69.99,Sales teams & outbound campaigns,https://whop.com/real-estate-leads-d0ea/real-estate-professional-monthly-data-plan-for-4-months,,
Business,"20,000","~60,000",3 Months ,$79.99,High-volume outreach,https://whop.com/real-estate-leads-d0ea/real-estate-business-monthly-data-plan-for-3-months,,
